datetime,sound
2016:04:25:14:36:22,0.155
2016:04:25:14:36:28,0.226132813
2016:04:25:14:36:33,0.23
2016:04:25:14:36:38,0.256757813
2016:04:25:14:36:43,0.201601563
2016:04:25:14:36:48,0.2428125
2016:04:25:14:36:54,0.220039063
2016:04:25:14:36:59,0.236132813
2016:04:25:14:37:04,0.200351563
2016:04:25:14:37:09,0.233398438
2016:04:25:14:37:15,0.256875
2016:04:25:14:37:20,0.224648438
2016:04:25:14:37:25,0.223046875
2016:04:25:14:37:30,0.232539063
2016:04:25:14:37:35,0.260273438
2016:04:25:14:37:41,0.242265625
2016:04:25:14:37:46,0.236601563
2016:04:25:14:37:51,0.234570313
2016:04:25:14:37:56,0.203671875
2016:04:25:14:38:01,0.261757813
2016:04:25:14:38:07,0.222304688
2016:04:25:14:38:12,0.24265625
2016:04:25:14:38:18,0.228671875
2016:04:25:14:38:22,0.231914063
2016:04:25:14:38:28,0.262578125
2016:04:25:14:38:33,0.24140625
2016:04:25:14:38:38,0.276796875
2016:04:25:14:38:43,0.228945313
2016:04:25:14:38:48,0.236132813
2016:04:25:14:38:54,0.21609375
2016:04:25:14:38:59,0.350195313
2016:04:25:14:39:04,0.225351563
2016:04:25:14:39:09,0.258789063
2016:04:25:14:39:15,0.2575
2016:04:25:14:39:20,0.2525
2016:04:25:14:39:25,0.227695313
2016:04:25:14:39:30,0.24
2016:04:25:14:39:35,0.219921875
2016:04:25:14:39:41,0.221132813
2016:04:25:14:39:46,0.233359375
2016:04:25:14:39:51,0.20890625
2016:04:25:14:39:57,0.248710938
2016:04:25:14:40:01,0.2190625
2016:04:25:14:40:07,0.261757813
2016:04:25:14:40:12,0.233476563
